well_id,well_name,operator,field_name,basin,state,county,target_formation,well_type,lateral_length_ft,latitude,longitude,spud_date,completion_date,status,initial_oil_potential_bopd
WELL-0024,Howard 24-30H,Pioneer Natural,Permian North,Permian Basin,TX,Howard,Wolfcamp B,Horizontal,7700,31.8095,-103.38353,2024-01-10,2024-04-13,Producing,1403
WELL-0025,Eddy 34-35H,Marathon Oil,Delaware Central,Delaware Basin,NM,Eddy,Bone Spring,Horizontal,11650,32.27377,-103.22771,2024-04-10,2024-07-20,Producing,1081
WELL-0026,Howard 11-19,Coterra,Permian South,Permian Basin,TX,Howard,Spraberry,Vertical,0,31.04829,-102.49408,2024-06-21,2024-09-19,Producing,558
WELL-0027,Adams 11-26,Devon Energy,DJ South,DJ Basin,CO,Adams,Niobrara,Vertical,0,40.77045,-104.6643,2024-05-03,2024-06-20,Shut-in,630
WELL-0028,DeWitt 34-19H,ConocoPhillips,Eagle South,Eagle Ford,TX,DeWitt,Austin Chalk,Horizontal,7900,28.39632,-98.1075,2023-09-24,2024-01-15,Producing,865
WELL-0029,Martin 31-29H,Coterra,Permian South,Permian Basin,TX,Martin,Spraberry,Horizontal,9700,31.55349,-103.10627,2023-11-27,2024-01-18,Producing,582
WELL-0030,Martin 1-35H,Marathon Oil,Permian Central,Permian Basin,TX,Martin,Wolfcamp A,Horizontal,8650,32.01537,-102.55211,2024-01-06,2024-04-09,Producing,844
WELL-0031,Lea 20-2,Occidental,Delaware East,Delaware Basin,NM,Lea,Wolfcamp A,Vertical,0,32.74294,-103.71261,2023-10-10,2024-01-23,Producing,1378
WELL-0032,DeWitt 31-26H,Occidental,Eagle West,Eagle Ford,TX,DeWitt,Eagle Ford,Horizontal,7300,28.33309,-97.47722,2023-06-02,2024-01-02,Producing,1375
WELL-0033,DeWitt 4-17,Occidental,Eagle South,Eagle Ford,TX,DeWitt,Eagle Ford,Vertical,0,29.06139,-98.87712,2023-03-24,2024-02-02,Producing,1485
WELL-0034,Weld 25-6H,Diamondback,DJ East,DJ Basin,CO,Weld,Codell,Horizontal,9750,40.68274,-104.20434,2023-02-03,2024-01-02,Shut-in,350
WELL-0035,La Salle 33-5,Diamondback,Eagle North,Eagle Ford,TX,La Salle,Eagle Ford,Directional,12050,28.50254,-97.41709,2023-07-22,2024-03-04,Producing,815
WELL-0036,Karnes 19-29H,Coterra,Eagle Central,Eagle Ford,TX,Karnes,Eagle Ford,Horizontal,7800,28.45431,-98.89348,2023-04-10,2024-02-16,Producing,829
WELL-0037,Weld 29-34,ConocoPhillips,DJ South,DJ Basin,CO,Weld,Niobrara,Vertical,0,40.05049,-104.37228,2023-10-18,2024-02-17,Shut-in,458
WELL-0038,Eddy 25-15H,ConocoPhillips,Delaware West,Delaware Basin,NM,Eddy,Avalon,Horizontal,11050,32.20594,-103.72084,2023-06-29,2024-01-12,Producing,1352
WELL-0039,DeWitt 2-15,Occidental,Eagle West,Eagle Ford,TX,DeWitt,Eagle Ford,Directional,12200,29.1726,-98.31028,2024-05-17,2024-09-23,Shut-in,723
WELL-0040,Karnes 16-9,EOG Resources,Eagle South,Eagle Ford,TX,Karnes,Eagle Ford,Vertical,0,29.35789,-97.64997,2023-11-04,2024-02-03,Producing,996
WELL-0041,Mountrail 21-24,Diamondback,Bakken East,Bakken,ND,Mountrail,Three Forks,Vertical,0,47.93599,-103.38295,2024-03-04,2024-05-07,Producing,484
WELL-0042,Dunn 14-14H,Pioneer Natural,Bakken Central,Bakken,ND,Dunn,Three Forks,Horizontal,7700,47.51162,-103.14136,2024-04-20,2024-09-06,Producing,1595
WELL-0043,Dunn 5-4H,Marathon Oil,Bakken East,Bakken,ND,Dunn,Three Forks,Horizontal,9250,47.87726,-102.40639,2023-09-26,2024-01-13,Producing,805
WELL-0044,Adams 8-26H,ConocoPhillips,DJ East,DJ Basin,CO,Adams,Niobrara,Horizontal,8600,40.62075,-104.6601,2023-07-26,2024-03-17,Producing,1522
WELL-0045,Mountrail 17-17H,Pioneer Natural,Bakken South,Bakken,ND,Mountrail,Three Forks,Horizontal,8600,47.67174,-103.78145,2023-04-17,2024-04-06,Shut-in,427
WELL-0046,McKenzie 16-17H,Devon Energy,Bakken West,Bakken,ND,McKenzie,Three Forks,Horizontal,8450,47.67541,-103.25674,2023-12-03,2024-01-29,Producing,785
WELL-0047,Reeves 19-10H,ConocoPhillips,Permian North,Permian Basin,TX,Reeves,Wolfcamp B,Horizontal,9600,31.56895,-101.85629,2023-11-07,2024-01-05,Shut-in,1052
WELL-0048,Midland 10-21H,Marathon Oil,Permian North,Permian Basin,TX,Midland,Bone Spring,Horizontal,7450,31.76535,-102.31468,2024-01-12,2024-05-28,Producing,855
WELL-0049,Karnes 24-25H,Devon Energy,Eagle North,Eagle Ford,TX,Karnes,Eagle Ford,Horizontal,11350,29.30899,-98.80396,2024-02-10,2024-05-16,Producing,400
WELL-0050,Lea 4-28H,Coterra,Delaware East,Delaware Basin,NM,Lea,Wolfcamp A,Horizontal,7550,32.69682,-103.79148,2023-01-23,2024-02-27,Shut-in,1257
