production_id,well_id,date_id,oil_bbl,gas_mcf,water_bbl,downtime_hours,choke_size_64ths,tubing_pressure_psi,casing_pressure_psi
147,WELL-0001,20241006,560.2,1646.3,708.5,0.0,28,1996,874
148,WELL-0001,20241007,520.7,1375.2,660.2,0.0,32,2050,811
149,WELL-0001,20241008,584.0,1528.8,742.3,0.0,64,2135,841
150,WELL-0001,20241009,548.2,1687.8,698.4,0.0,24,2017,911
151,WELL-0001,20241010,533.3,1654.0,681.1,0.0,40,1892,864
152,WELL-0001,20241011,521.9,1560.7,668.1,0.0,36,1802,947
153,WELL-0001,20241012,533.5,1626.2,684.6,0.0,36,2001,866
154,WELL-0001,20241013,551.8,1653.1,709.9,0.0,28,2004,867
155,WELL-0001,20241014,658.0,2057.8,848.6,0.0,64,1972,795
156,WELL-0001,20241015,571.6,1744.4,739.0,0.0,32,2072,857
157,WELL-0001,20241016,575.1,1647.3,745.4,0.0,64,2001,696
158,WELL-0001,20241017,584.0,1586.5,758.7,0.0,40,2209,923
159,WELL-0001,20241018,531.4,1543.9,692.1,0.0,36,2037,893
160,WELL-0001,20241019,536.4,1636.2,700.3,0.0,36,2001,776
161,WELL-0001,20241020,493.1,1532.0,645.4,0.0,64,1996,789
162,WELL-0001,20241021,551.4,1539.4,723.4,0.0,48,2083,826
163,WELL-0001,20241022,421.2,1228.8,553.9,4.3,32,1992,771
164,WELL-0001,20241023,517.8,1567.0,682.7,0.0,20,1946,941
165,WELL-0001,20241024,554.5,1607.4,732.9,0.0,24,2255,738
166,WELL-0001,20241025,486.7,1594.1,644.9,0.0,20,1993,895
167,WELL-0001,20241026,524.4,1700.4,696.4,0.0,24,1949,856
168,WELL-0001,20241027,536.3,1694.5,713.9,0.0,48,1842,828
169,WELL-0001,20241028,477.6,1403.3,637.4,0.0,36,2009,778
170,WELL-0001,20241029,568.8,1721.5,761.0,0.0,36,2063,743
171,WELL-0001,20241030,476.5,1417.7,639.0,0.0,48,2101,764
172,WELL-0001,20241031,580.2,1718.9,780.0,0.0,32,1928,845
173,WELL-0001,20241101,568.2,1744.5,765.8,0.0,24,2331,779
174,WELL-0001,20241102,476.2,1411.1,643.4,0.0,24,1940,867
175,WELL-0001,20241103,539.2,1494.5,730.2,0.0,28,2231,988
176,WELL-0001,20241104,491.1,1497.1,666.8,0.0,48,2288,880
177,WELL-0001,20241105,455.7,1369.7,620.2,0.0,36,2104,854
178,WELL-0001,20241106,490.9,1338.3,669.8,0.0,32,1829,727
179,WELL-0001,20241107,500.2,1509.1,684.2,0.0,28,1957,947
180,WELL-0001,20241108,454.5,1437.7,623.2,0.0,24,1861,921
181,WELL-0001,20241109,516.8,1616.3,710.4,0.0,28,2111,741
182,WELL-0001,20241110,492.4,1379.5,678.5,0.0,48,1986,949
183,WELL-0001,20241111,528.0,1623.8,729.4,0.0,32,1861,957
184,WELL-0001,20241112,509.3,1440.0,705.2,0.0,40,2035,768
185,WELL-0001,20241113,504.7,1474.5,700.5,0.0,24,2247,764
186,WELL-0001,20241114,506.6,1400.9,704.9,0.0,28,2051,838
187,WELL-0001,20241115,471.6,1353.5,657.9,0.0,48,2092,838
188,WELL-0001,20241116,507.6,1584.1,709.8,0.0,32,2098,755
189,WELL-0001,20241117,455.1,1387.0,638.0,0.0,40,2134,744
190,WELL-0001,20241118,449.8,1383.1,632.1,0.0,40,2028,713
191,WELL-0001,20241119,487.1,1543.9,686.2,0.0,32,1875,832
192,WELL-0001,20241120,477.0,1437.9,673.6,0.0,64,2017,903
193,WELL-0001,20241121,464.3,1349.7,657.3,0.0,40,1984,732
194,WELL-0001,20241122,465.6,1401.9,660.8,0.0,24,1926,908
195,WELL-0001,20241123,450.1,1302.5,640.4,0.0,28,2192,757
196,WELL-0001,20241124,483.0,1454.5,688.9,0.0,40,1994,812
197,WELL-0001,20241125,457.5,1263.2,654.2,0.0,40,1974,890
198,WELL-0001,20241126,444.0,1355.4,636.5,2.2,36,1987,973
199,WELL-0001,20241127,470.5,1431.0,676.1,0.0,40,1786,867
200,WELL-0001,20241128,496.8,1514.8,715.7,0.0,64,1909,890
201,WELL-0001,20241129,491.8,1572.9,710.2,0.0,32,1838,789
202,WELL-0001,20241130,80.5,231.8,116.5,19.8,64,2132,873
203,WELL-0001,20241201,466.0,1368.2,676.4,0.0,28,2084,758
204,WELL-0001,20241202,462.4,1442.8,672.7,0.0,40,2067,767
205,WELL-0001,20241203,477.0,1483.9,695.8,0.0,32,1758,849
206,WELL-0001,20241204,480.4,1425.5,702.4,0.0,48,1849,834
207,WELL-0001,20241205,489.4,1577.7,717.4,0.0,28,1839,715
208,WELL-0001,20241206,494.3,1400.5,726.3,0.0,32,1921,855
209,WELL-0001,20241207,234.8,757.7,345.9,11.6,32,1924,713
210,WELL-0001,20241208,444.6,1322.8,656.6,0.0,32,2121,889
211,WELL-0001,20241209,427.0,1224.5,632.2,0.0,32,2046,864
212,WELL-0001,20241210,470.9,1376.8,698.9,0.0,36,1952,760
213,WELL-0001,20241211,393.6,1128.1,585.7,0.0,40,1961,847
214,WELL-0001,20241212,447.7,1387.2,667.8,0.0,20,2096,1003
215,WELL-0001,20241213,448.5,1321.7,670.7,0.0,24,2035,789
216,WELL-0001,20241214,467.7,1448.6,701.1,0.0,20,2021,878
217,WELL-0001,20241215,456.6,1543.9,686.3,0.0,40,2137,766
218,WELL-0001,20241216,116.7,361.8,175.8,17.4,20,2085,802
219,WELL-0001,20241217,447.8,1416.3,676.4,0.0,48,1929,867
220,WELL-0001,20241218,306.8,947.5,464.5,7.4,40,1852,909
221,WELL-0001,20241219,415.0,1232.2,630.0,0.0,36,1743,785
222,WELL-0001,20241220,430.3,1302.5,654.8,0.0,36,2098,896
223,WELL-0001,20241221,298.2,963.1,455.0,5.6,24,2161,849
224,WELL-0001,20241222,410.4,1313.7,627.8,0.0,32,1986,831
225,WELL-0001,20241223,429.3,1335.3,658.3,0.0,24,1830,795
226,WELL-0001,20241224,425.3,1361.9,653.8,0.0,28,1858,901
227,WELL-0001,20241225,206.1,682.2,317.7,11.6,48,1961,831
228,WELL-0001,20241226,434.5,1298.6,671.2,0.0,24,1998,795
229,WELL-0001,20241227,408.7,1223.2,633.0,0.0,28,1981,789
230,WELL-0001,20241228,447.6,1306.8,695.1,0.0,48,1864,758
231,WELL-0001,20241229,379.0,1045.9,590.0,0.0,40,2128,814
232,WELL-0001,20241230,450.6,1450.1,703.2,0.0,40,1911,878
233,WELL-0001,20241231,411.7,1233.0,644.1,0.0,48,1935,798
234,WELL-0001,20250101,459.1,1502.9,720.1,0.0,28,1961,835
235,WELL-0001,20250102,424.7,1249.0,667.8,0.0,28,1699,753
236,WELL-0001,20250103,387.6,1149.0,611.0,0.0,36,1985,929
237,WELL-0001,20250104,449.4,1502.5,710.3,0.0,48,2109,765
238,WELL-0001,20250105,432.3,1379.4,685.0,0.0,28,1873,685
239,WELL-0001,20250106,429.8,1209.7,682.7,0.0,36,1824,696
240,WELL-0001,20250107,391.2,1154.4,623.0,0.0,20,2133,723
241,WELL-0001,20250108,364.2,1107.0,581.4,0.0,28,1798,920
242,WELL-0001,20250109,390.2,1133.5,624.6,0.0,20,1876,776
243,WELL-0001,20250110,435.4,1328.0,698.6,0.0,36,1962,866
244,WELL-0001,20250111,425.5,1330.3,684.5,0.0,64,1951,810
245,WELL-0001,20250112,410.8,1209.4,662.6,0.0,24,1958,759
246,WELL-0001,20250113,368.6,1142.7,596.0,0.0,32,1946,811
247,WELL-0001,20250114,359.2,1004.4,582.2,0.0,48,2059,748
248,WELL-0001,20250115,428.5,1336.8,696.3,0.0,32,1750,847
249,WELL-0001,20250116,391.3,1267.9,637.5,0.0,28,1948,943
250,WELL-0001,20250117,386.6,1294.4,631.4,0.0,24,1742,718
251,WELL-0001,20250118,407.7,1259.5,667.7,0.0,48,1933,807
252,WELL-0001,20250119,371.1,1093.1,609.3,0.0,32,2007,751
253,WELL-0001,20250120,369.8,1165.4,608.7,0.0,40,1952,773
254,WELL-0001,20250121,396.0,1117.5,653.5,0.0,32,1953,779
255,WELL-0001,20250122,395.1,1297.8,653.7,0.0,28,1912,711
256,WELL-0001,20250123,418.9,1323.6,694.9,0.0,40,1771,904
257,WELL-0001,20250124,380.7,1131.9,633.1,0.0,32,2042,746
258,WELL-0001,20250125,383.6,1275.0,639.4,0.0,32,1835,897
259,WELL-0001,20250126,435.7,1264.7,728.3,0.0,24,1788,745
260,WELL-0001,20250127,385.2,1344.0,645.5,0.0,64,1875,812
261,WELL-0001,20250128,396.5,1211.4,666.2,0.0,28,1791,967
262,WELL-0001,20250129,399.6,1269.5,673.1,0.0,24,1987,900
263,WELL-0001,20250130,377.9,1054.4,638.1,0.0,36,1806,974
264,WELL-0001,20250131,362.1,1162.1,613.1,0.0,48,2122,807
265,WELL-0001,20250201,387.0,1167.6,656.9,0.0,48,1943,653
266,WELL-0001,20250202,382.5,1127.1,651.0,0.0,24,1955,785
267,WELL-0001,20250203,394.3,1158.6,672.6,0.0,36,1800,919
268,WELL-0001,20250204,396.3,1193.5,677.9,0.0,64,1825,767
269,WELL-0001,20250205,387.1,1190.9,663.8,0.0,24,1715,884
270,WELL-0001,20250206,406.0,1152.6,698.1,0.0,64,1857,723
271,WELL-0001,20250207,367.6,1229.0,633.7,0.0,64,1796,893
272,WELL-0001,20250208,342.2,1080.9,591.4,0.0,36,1907,686
273,WELL-0001,20250209,362.5,1078.5,628.1,0.0,28,1912,919
274,WELL-0001,20250210,384.1,1358.5,667.2,0.0,20,2139,799
275,WELL-0001,20250211,367.0,1201.4,639.2,0.0,36,2247,845
276,WELL-0001,20250212,446.5,1446.2,779.6,0.0,36,1820,837
277,WELL-0001,20250213,272.1,837.8,476.3,6.2,64,1800,921
278,WELL-0001,20250214,375.0,1208.5,658.2,0.0,36,1755,739
279,WELL-0001,20250215,408.6,1231.2,719.1,0.0,32,1712,805
280,WELL-0001,20250216,403.5,1228.6,711.9,0.0,28,1818,645
281,WELL-0001,20250217,331.9,1039.2,587.2,0.0,32,1904,842
282,WELL-0001,20250218,362.6,1152.5,643.0,0.0,32,1840,881
283,WELL-0001,20250219,346.6,1120.7,616.3,0.0,64,1795,813
284,WELL-0001,20250220,378.2,1169.7,674.3,0.0,24,1986,808
285,WELL-0001,20250221,395.9,1296.6,707.7,0.0,24,1971,747
286,WELL-0001,20250222,350.8,1111.2,628.8,0.0,48,1905,866
287,WELL-0001,20250223,416.4,1321.5,748.3,0.0,32,2019,672
288,WELL-0001,20250224,363.4,1082.6,654.6,0.0,20,1973,674
289,WELL-0001,20250225,378.5,1226.5,683.7,0.0,28,1757,773
290,WELL-0001,20250226,367.6,1220.5,665.8,0.0,48,1776,694
291,WELL-0001,20250227,324.5,992.6,589.3,0.0,36,1757,678
292,WELL-0001,20250228,371.3,1282.2,676.0,0.0,36,1784,811
293,WELL-0001,20250301,357.7,1149.5,652.9,0.0,64,1923,843
294,WELL-0001,20250302,333.2,1046.6,609.8,0.0,40,1975,746
295,WELL-0001,20250303,352.9,1056.6,647.6,0.0,64,1795,859
296,WELL-0001,20250304,374.5,1182.4,689.0,0.0,24,1915,625
297,WELL-0001,20250305,354.3,1147.5,653.6,0.0,36,1886,622
298,WELL-0001,20250306,343.2,1119.7,634.7,0.0,20,2040,646
299,WELL-0001,20250307,357.4,1078.8,662.8,0.0,24,1748,730
300,WELL-0001,20250308,368.8,1183.9,685.7,0.0,40,1746,808
301,WELL-0001,20250309,360.0,1157.5,671.1,0.0,32,1791,1000
302,WELL-0001,20250310,370.0,1138.6,691.6,0.0,32,2013,710
303,WELL-0001,20250311,352.5,1033.8,660.5,0.0,24,1938,828
304,WELL-0001,20250312,343.8,1009.3,646.0,0.0,28,1858,623
305,WELL-0001,20250313,354.8,1155.5,668.4,0.0,36,1791,730
306,WELL-0001,20250314,346.4,1080.7,654.3,0.0,28,1938,886
307,WELL-0001,20250315,325.4,1070.5,616.3,0.0,40,1956,825
308,WELL-0001,20250316,332.8,976.0,632.0,0.0,20,1686,773
309,WELL-0001,20250317,354.8,1056.6,675.6,0.0,24,1793,761
310,WELL-0001,20250318,375.4,1151.2,716.7,0.0,32,1840,859
311,WELL-0001,20250319,305.6,973.9,585.1,0.0,40,1891,683
312,WELL-0001,20250320,359.2,1084.2,689.5,0.0,64,1977,783
313,WELL-0001,20250321,360.3,1142.3,693.4,0.0,20,1836,770
314,WELL-0001,20250322,347.6,1117.4,670.7,0.0,40,2000,855
315,WELL-0001,20250323,279.8,974.3,541.3,0.0,28,1766,708
316,WELL-0001,20250324,348.5,1113.5,676.0,0.0,20,1644,837
317,WELL-0001,20250325,335.4,1053.2,652.4,0.0,40,1781,731
318,WELL-0001,20250326,309.1,943.4,602.8,0.0,28,1664,804
319,WELL-0001,20250327,354.5,1066.0,693.3,0.0,28,1805,713
320,WELL-0001,20250328,366.1,1187.1,717.9,0.0,24,1881,787
321,WELL-0001,20250329,299.2,838.7,588.4,0.0,28,1865,917
322,WELL-0001,20250330,366.8,1225.8,723.2,0.0,20,1886,860
323,WELL-0001,20250331,158.1,523.6,312.4,13.3,20,2017,704
324,WELL-0001,20250401,255.3,831.5,506.0,0.0,64,1935,718
325,WELL-0001,20250402,343.3,1051.7,682.4,0.0,64,1950,718
326,WELL-0001,20250403,346.7,1216.1,690.9,0.0,32,1914,778
327,WELL-0001,20250404,350.8,1122.7,700.9,0.0,32,1936,841
328,WELL-0001,20250405,312.2,846.0,625.6,0.0,28,1694,640
329,WELL-0001,20250406,353.3,1216.1,709.8,0.0,24,1775,874
330,WELL-0001,20250407,321.1,1023.5,646.9,0.0,36,1768,902
331,WELL-0001,20250408,314.3,992.9,634.9,0.0,32,1907,774
332,WELL-0001,20250409,301.5,947.9,610.7,0.0,32,1695,827
333,WELL-0001,20250410,322.7,974.8,655.3,0.0,28,1890,768
334,WELL-0001,20250411,263.9,869.3,537.4,5.7,20,1970,730
335,WELL-0001,20250412,348.1,1127.0,710.9,0.0,40,1755,815
336,WELL-0001,20250413,310.3,1051.2,635.4,0.0,28,1735,850
337,WELL-0001,20250414,289.7,983.1,594.8,0.0,28,1556,739
338,WELL-0001,20250415,319.1,1094.8,656.9,0.0,40,2045,770
339,WELL-0001,20250416,358.9,1070.2,740.9,0.0,64,1862,715
340,WELL-0001,20250417,326.2,1032.7,675.2,0.0,64,1765,672
341,WELL-0001,20250418,315.7,1044.2,655.3,0.0,48,1933,765
342,WELL-0001,20250419,294.9,958.8,613.7,0.0,20,1566,799
343,WELL-0001,20250420,298.2,983.6,622.4,0.0,32,1877,816
344,WELL-0001,20250421,351.3,1156.4,735.1,0.0,32,1816,917
345,WELL-0001,20250422,277.8,945.3,583.0,0.0,40,1907,804
346,WELL-0001,20250423,330.5,1086.7,695.5,0.0,48,1779,761
347,WELL-0001,20250424,325.4,940.6,686.6,0.0,28,1826,821
348,WELL-0001,20250425,354.2,1124.8,749.5,0.0,40,1811,718
349,WELL-0001,20250426,336.5,1139.2,714.0,0.0,28,1832,851
350,WELL-0001,20250427,326.6,1087.0,694.9,0.0,32,1895,774
351,WELL-0001,20250428,328.7,1026.5,701.2,0.0,40,1827,726
352,WELL-0001,20250429,302.8,1064.8,647.9,0.0,28,1810,726
353,WELL-0001,20250430,179.9,588.6,386.0,7.4,48,1764,869
354,WELL-0001,20250501,334.2,1113.9,718.9,0.0,28,1877,838
355,WELL-0001,20250502,288.8,925.3,622.9,0.0,64,1929,748
356,WELL-0001,20250503,303.4,910.6,656.3,0.0,24,1701,800
357,WELL-0001,20250504,324.8,1022.9,704.5,0.0,32,1980,869
358,WELL-0001,20250505,289.0,916.2,628.7,0.0,36,1677,730
359,WELL-0001,20250506,301.4,965.6,657.5,0.0,32,1754,741
360,WELL-0001,20250507,326.3,1044.2,713.6,0.0,20,1945,727
361,WELL-0001,20250508,355.7,1076.8,780.3,0.0,28,1873,685
362,WELL-0001,20250509,309.1,992.8,679.9,0.0,64,1791,819
363,WELL-0001,20250510,322.8,1060.6,712.0,0.0,36,1776,835
364,WELL-0001,20250511,299.2,978.0,661.8,0.0,20,1610,799
365,WELL-0001,20250512,285.1,775.2,632.4,0.0,32,1666,732
366,WELL-0001,20250513,308.3,968.6,685.9,0.0,64,1791,734
367,WELL-0001,20250514,295.0,1029.0,658.1,0.0,20,1813,724
368,WELL-0001,20250515,316.5,1035.8,707.9,0.0,64,1862,750
369,WELL-0001,20250516,301.3,948.4,676.0,0.0,48,1776,816
370,WELL-0001,20250517,296.4,952.1,666.8,0.0,20,1897,739
371,WELL-0001,20250518,270.9,882.0,611.2,0.0,64,1681,805
372,WELL-0001,20250519,310.0,1026.5,701.2,0.0,64,1695,796
373,WELL-0001,20250520,323.1,982.6,733.0,0.0,24,1916,693
